Question_ID,Question,Generated_Answer,Ground_Truth,Dense_MRR,Sparse_MRR,Hybrid_MRR,F1_Score,Hallucinated,Judge_Overall,Judge_Factual,Judge_Complete,Judge_Relevant,Judge_Coherent
qa_001,who founded and became governors of men?,unanswerable. [Source 1: List of governors of Penang] During the Malayan Union,unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_002,"When was Empress Ikeyoko, wife  of General Iwate Hirosemuké, married first with a heirship of Emperor Akbar during what junph century-long siehoku-shan war?)?",1694-July-October-July-October,[2]. [4]. [5].,0,0,0,0,No,3.9,2,5,5,4
qa_003,"What country was Israel located from after the pyramid expansion to Adan Aqari, in Palestine and in southern Lebanon in 1857 to 1665? [1e26/08|0]&lolen_010&reelnilennet1912-08?",Lebanon – The Shia population was also reported to have been reported to have been reported to have been reported to have been reported,unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_004,Who will build offsite winds power plants and turbine complex?,Nelja Energia and Enefit Energia will build offsite winds power plants and turbine complex,"Nelja Energia, Hiiu Municipality",0,0,0,0,No,3.9,2,5,5,4
qa_005,"Why could there have never been other events, even though these might have included human beings who cannot act or may still think ? Pick your answer carefully with your questions answered?","The Vampires had prophesied not one, but two champions – one destined to be Nosgoth's redeemer, the other, its destroyer. So perhaps we had strained history too far","Violations occur when policy violations are made due to a history of ""getting away with it"", so the perception develops that the risk is lower than it real",0,0,0,0,No,3.9,2,5,5,4
qa_006,"Where is UCLA named in 2008 and in 2001/09 NCAA All Tournament Conference All Star Winning ?Wt?Republic , Maryland  and Florida national division?",second round of the 2009 NCAA Divinity Championships and Final Four Conference Final Four Conference Final Four Conference Final Four,unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_007,What authors contributed their work for MaxWesternsoctuo p. 229)? Identify these publications from this page by making references to?,Dostoyevsky and Maruzen translations of the works of Dostoyevsky,Petrusenko and Morozov,0,0,0,0,No,3.9,2,5,5,4
qa_008,What year were Anwar of Afghanistan born ? List several events occurring under that name in this context?,unanswerable br /rr /rr '',[2]. [3]. [4]. [5]. [6].,0,0,0,0,No,3.9,2,5,5,4
qa_009,"In 1945, which battle group numbered between 22,000 from 1862 -- 8,000 from 1926. They began and ended at the Battle of Liewke? Choose your location on questionable accuracy,?",16th Infantry Regiment /1st U.S. Infantry Regiment in the Hürtgen,[3]. [4]. [5]. [6].,0,0,0,0,No,3.9,2,5,5,4
qa_010,What property was first owned by King Alden VII by Hestizon king George III prior his military congestion in AD 345A4 ) called?. [ —- Factual Factual o] How often was Royfd House added?,unanswerable (as of 2019) br />/br />/br />,"2 May 2020 Historic England, ""Former house approximately 10 metres to north-east of Oats Royd House, Luddendenfoot (1134564)",0,0,0,0,No,3.9,2,5,5,4
